topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13,topic_14,topic_15,topic_16,kategori
0.00038210622733458877,0.4147377908229828,0.00038210616912692785,0.03580957651138306,0.00038210622733458877,0.0003821061400230974,0.00038210622733458877,0.07022899389266968,0.00038210616912692785,0.2312534749507904,0.00038210622733458877,0.00038210616912692785,0.0003821061982307583,0.00038210622733458877,0.0003821061400230974,0.24338491261005402,0.0003821062564384192,Berita Regional Jatim
0.0005161071894690394,0.9075844883918762,0.0005161070730537176,0.0005161070730537176,0.05133681371808052,0.0005161069566383958,0.0005161070730537176,0.0005161070730537176,0.0005161072476767004,0.0005161070730537176,0.0005161070148460567,0.0005161073058843613,0.0005161070148460567,0.03385321423411369,0.0005161070148460567,0.0005161073058843613,0.0005161069566383958,Berita Regional Jatim
0.0005207175854593515,0.7661265134811401,0.0005207174690440297,0.0005207177600823343,0.0005207175854593515,0.0005207174690440297,0.0005207174690440297,0.0005207175272516906,0.0005207174690440297,0.22606272995471954,0.0005207175272516906,0.0005207174690440297,0.0005207174690440297,0.0005207175854593515,0.0005207174690440297,0.0005207175854593515,0.0005207175854593515,Berita Regional Jatim
0.2247251570224762,0.0002884092682506889,0.000288409210043028,0.00028840923914685845,0.000288409210043028,0.000288409210043028,0.00028840923914685845,0.00028840923914685845,0.00028840918093919754,0.7709487080574036,0.000288409210043028,0.00028840923914685845,0.00028840923914685845,0.0002884092682506889,0.000288409210043028,0.000288409210043028,0.00028840918093919754,Berita Regional Jatim
0.00042950629722326994,0.0004295063263271004,0.00042950629722326994,0.0004295062681194395,0.00042950629722326994,0.000429506239015609,0.00042950629722326994,0.00042950629722326994,0.000429506239015609,0.9663922786712646,0.00042950635543093085,0.00042950629722326994,0.00042950655915774405,0.027165163308382034,0.00042950655915774405,0.00042950629722326994,0.0004295062681194395,Berita Regional Jatim
0.0006260278751142323,0.0006260279915295541,0.0006260278169065714,0.4120940566062927,0.0006260277586989105,0.0006260278169065714,0.0006260279915295541,0.0006260279333218932,0.0006260277586989105,0.26796746253967285,0.0006260278751142323,0.0006260279333218932,0.0006260278751142323,0.0006260279915295541,0.0006260278751142323,0.3111741244792938,0.0006260278169065714,Berita Regional Jatim
0.0003922230389434844,0.0333130918443203,0.0003922230389434844,0.0003922230389434844,0.0003922230680473149,0.00039222321356646717,0.15997108817100525,0.0003922230680473149,0.0003922231844626367,0.5355989336967468,0.0234147310256958,0.24299554526805878,0.0003922231262549758,0.00039222309715114534,0.0003922230389434844,0.00039222309715114534,0.0003922232426702976,Berita Regional Jatim
0.0004425717634148896,0.9337801933288574,0.0004425720253493637,0.00044257179251872003,0.0004425718216225505,0.00044257170520722866,0.0595812164247036,0.0004425719380378723,0.00044257179251872003,0.0004425718216225505,0.0004425717634148896,0.0004425717634148896,0.00044257196714170277,0.0004425718216225505,0.0004425718798302114,0.0004425717634148896,0.0004425717634148896,Berita Regional Jatim
0.0005657158326357603,0.0005657158326357603,0.0005657158326357603,0.0005657158326357603,0.0005657158908434212,0.0005657158326357603,0.0005657158908434212,0.0005657158908434212,0.000565716007258743,0.8496100902557373,0.0005657158326357603,0.14190419018268585,0.0005657158326357603,0.0005657158908434212,0.0005657158326357603,0.0005657158908434212,0.0005657158326357603,Berita Regional Jatim
0.7862605452537537,0.0008914097561500967,0.0008914095815271139,0.20036831498146057,0.000891409523319453,0.000891410221811384,0.0008914095815271139,0.0008914095815271139,0.0008914094651117921,0.0008914097561500967,0.0008914095815271139,0.0008914096397347748,0.0008914096979424357,0.0008914096397347748,0.0008914096397347748,0.000891409523319453,0.0008914094651117921,Berita Regional Jatim
0.00035023727104999125,0.12352561950683594,0.0003502372419461608,0.0003502372419461608,0.00035023721284233034,0.0003502371546346694,0.00035023732925765216,0.00035023721284233034,0.0003502371837384999,0.42905810475349426,0.0003502371837384999,0.00035023721284233034,0.07785740494728088,0.36500582098960876,0.0003502372419461608,0.0003502372419461608,0.00035023721284233034,Berita Regional Jatim
0.00012310146121308208,0.0001231014757649973,0.0001231014757649973,0.26508572697639465,0.00012310146121308208,0.002374027855694294,0.0001231014757649973,0.00012310146121308208,0.00012310146121308208,0.00012310146121308208,0.00012310150486882776,0.00012310149031691253,0.3268040120601654,0.0001231014757649973,0.40413594245910645,0.0001231014757649973,0.00012310146121308208,Berita Regional Jatim
0.00027366334688849747,0.0002736632595770061,0.0002736632595770061,0.00027366328868083656,0.07168155908584595,0.00027366323047317564,0.3173314034938812,0.00027366328868083656,0.0002736632595770061,0.6071557402610779,0.000273663317784667,0.000273663317784667,0.00027366334688849747,0.000273663317784667,0.00027366328868083656,0.0002736632595770061,0.00027366328868083656,Berita Regional Jatim
0.0003772120689973235,0.0003772121563088149,0.00037721209810115397,0.0003772121563088149,0.0003772122145164758,0.00037721203989349306,0.00037721209810115397,0.0003772120689973235,0.0003772121563088149,0.921991229057312,0.00037721218541264534,0.00037721209810115397,0.0003772121563088149,0.00037721209810115397,0.0003772123600356281,0.00037721218541264534,0.0723506286740303,Berita Regional Jatim
0.00047449429985135794,0.000474494241643697,0.00047449421253986657,0.0004744941834360361,0.00047449415433220565,0.00047449415433220565,0.3165974020957947,0.0004744942707475275,0.0004744941834360361,0.156967893242836,0.0004744941834360361,0.05661032721400261,0.2984875440597534,0.0004744941834360361,0.1656428724527359,0.00047449421253986657,0.0004744941834360361,Berita Regional Jatim
0.14137224853038788,0.8319210410118103,0.0002711258130148053,0.0002711258421186358,0.00027112578391097486,0.022910920903086662,0.0002711258421186358,0.0002711258130148053,0.00027112592943012714,0.0002711258421186358,0.00027112578391097486,0.00027112578391097486,0.00027112578391097486,0.0002711258421186358,0.00027112578391097486,0.0002711258130148053,0.0002711259003262967,Berita Regional Jatim
0.0001994567282963544,0.00019945671374443918,0.00019945671374443918,0.00019945671374443918,0.00019945671374443918,0.00019945669919252396,0.7072515487670898,0.0001994567719521001,0.0001994567282963544,0.02986997738480568,0.00019945675740018487,0.1179441437125206,0.00019945678650401533,0.00019945675740018487,0.0001994567282963544,0.08490030467510223,0.05764054134488106,Berita Regional Jatim
0.0005300593329593539,0.0005300593911670148,0.0005300593329593539,0.000530059274751693,0.0005300593329593539,0.0005300592165440321,0.0005300593329593539,0.000530059274751693,0.0005300592165440321,0.991519033908844,0.0005300593911670148,0.0005300593329593539,0.0005300593329593539,0.0005300593911670148,0.0005300594493746758,0.0005300593329593539,0.0005300592165440321,Berita Regional Jatim
0.00025468500098213553,0.00025468500098213553,0.0002546849718783051,0.00025468500098213553,0.0002546849718783051,0.0002546849718783051,0.000254685030085966,0.00025468500098213553,0.00025468500098213553,0.00025468505918979645,0.0002546849718783051,0.000254685030085966,0.00025468500098213553,0.9959250092506409,0.0002546849718783051,0.00025468500098213553,0.00025468500098213553,Berita Regional Jatim
0.00044564841664396226,0.0004456484457477927,0.00044564841664396226,0.00044564841664396226,0.0004456484457477927,0.0004456484748516232,0.0004456484457477927,0.0004456484457477927,0.9928696155548096,0.0004456484457477927,0.0004456484457477927,0.0004456484457477927,0.0004456484457477927,0.0004456484457477927,0.00044564841664396226,0.0004456484457477927,0.0004456485330592841,Berita Regional Jatim
